credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business,not.fully.paid
1.0,0.004023224043715848,0.8798879357902366,0.5447622185407328,0.650200267022697,0.10416666666666674,0.3127541378347224,0.02389844279953187,0.07776119402985075,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,0.0032172131147540986,0.22991551916233086,0.5063336772434166,0.4769692923898531,0.07916666666666672,0.14781751716326658,0.027848386436842728,0.11447761194029851,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.005170765027322405,0.3798825272859044,0.40482009564998434,0.38818424566088117,0.05833333333333335,0.25949496979304354,0.002908000023191114,0.0382089552238806,0.030303030303030304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,0.0027868852459016396,0.15865306608110594,0.5447622185407328,0.27036048064085444,0.08333333333333337,0.14437890156213562,0.02788482961571496,0.10925373134328359,0.030303030303030304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,0.0056420765027322415,0.09437840059709889,0.5375031770634828,0.49966622162883845,0.04583333333333339,0.22261277518095307,0.003925924269417795,0.05895522388059701,0.0,0.07692307692307693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.001284153005464481,0.11840297684078445,0.6242025141788705,0.5667556742323098,0.09583333333333333,0.340248744907097,0.04208110429458015,0.07611940298507462,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.0061202185792349735,0.19292134953000098,0.4536574798369868,0.13351134846461948,0.04583333333333339,0.17187350863451017,0.003179667356602303,0.11462686567164179,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1.0,0.0035109289617486347,0.12499053511741863,0.4948676411690851,0.369826435246996,0.09166666666666667,0.28274678813544835,0.020060313461033544,0.10238805970149253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.0036475409836065576,0.07736324596796003,0.5529501021220287,0.5757676902536715,0.05833333333333335,0.2182029475642901,0.057902413449520816,0.07626865671641792,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1.0,0.004241803278688525,0.07404242430798189,0.38048223250624136,0.33377837116154874,0.07916666666666672,0.14610178879686933,0.004663070387515229,0.034328358208955224,0.030303030303030304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,0.005102459016393443,0.3729271907146798,0.41350451025704404,0.7373164218958611,0.054166666666666696,0.37421014460425484,0.011468005787839408,0.10597014925373134,0.06060606060606061,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,0.004945355191256831,0.25734745313531,0.6141810179470539,0.30574098798397864,0.04166666666666674,0.23589952851947013,0.0042423173223539975,0.02716417910447761,0.06060606060606061,0.07692307692307693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,0.00176912568306011,0.32498620831395286,0.48498448333632727,0.517022696929239,0.12916666666666665,0.36315216773944226,0.005025845668107,0.024925373134328358,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,0.0007786885245901643,0.0834532218460307,0.5680428870673406,0.21695594125500667,0.11250000000000004,0.2408247905328859,0.002502155531204886,0.007164179104477612,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1.0,0.0017964480874316947,0.20970934697718693,0.277970397375219,0.3247663551401869,0.09583333333333333,0.07909054464011218,0.005203092038076496,0.06656716417910448,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,0.003435792349726776,0.33733923220872497,0.4571667172772216,0.4352469959946595,0.07500000000000007,0.4570757689255111,0.004467602428109617,0.07970149253731343,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.004897540983606559,0.06708708773675728,0.4262045459945256,0.07543391188251,0.050000000000000044,0.21287440584173214,0.0018312697383296931,0.1319402985074627,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
